match_key,scheduled_date,scheduled_time,comp_level,match_number,set_number,color,team
2024casd_qm1,2024-03-23,08:55 AM,qm,1,1,red,4738
2024casd_qm1,2024-03-23,08:55 AM,qm,1,1,red,812
2024casd_qm1,2024-03-23,08:55 AM,qm,1,1,red,3965
2024casd_qm1,2024-03-23,08:55 AM,qm,1,1,blue,3882
2024casd_qm1,2024-03-23,08:55 AM,qm,1,1,blue,2658
2024casd_qm1,2024-03-23,08:55 AM,qm,1,1,blue,5474
2024casd_qm2,2024-03-23,09:03 AM,qm,2,1,red,3255
2024casd_qm2,2024-03-23,09:03 AM,qm,2,1,red,4919
2024casd_qm2,2024-03-23,09:03 AM,qm,2,1,red,5137
2024casd_qm2,2024-03-23,09:03 AM,qm,2,1,blue,9030
2024casd_qm2,2024-03-23,09:03 AM,qm,2,1,blue,1572
2024casd_qm2,2024-03-23,09:03 AM,qm,2,1,blue,5025
2024casd_qm3,2024-03-23,09:13 AM,qm,3,1,red,359
2024casd_qm3,2024-03-23,09:13 AM,qm,3,1,red,8119
2024casd_qm3,2024-03-23,09:13 AM,qm,3,1,red,3128
2024casd_qm3,2024-03-23,09:13 AM,qm,3,1,blue,9452
2024casd_qm3,2024-03-23,09:13 AM,qm,3,1,blue,8888
2024casd_qm3,2024-03-23,09:13 AM,qm,3,1,blue,6515
2024casd_qm4,2024-03-23,09:23 AM,qm,4,1,red,4160
2024casd_qm4,2024-03-23,09:23 AM,qm,4,1,red,1266
2024casd_qm4,2024-03-23,09:23 AM,qm,4,1,red,2543
2024casd_qm4,2024-03-23,09:23 AM,qm,4,1,blue,9730
2024casd_qm4,2024-03-23,09:23 AM,qm,4,1,blue,3749
2024casd_qm4,2024-03-23,09:23 AM,qm,4,1,blue,4419
2024casd_qm5,2024-03-23,09:33 AM,qm,5,1,red,6695
2024casd_qm5,2024-03-23,09:33 AM,qm,5,1,red,2827
2024casd_qm5,2024-03-23,09:33 AM,qm,5,1,red,3880
2024casd_qm5,2024-03-23,09:33 AM,qm,5,1,blue,2839
2024casd_qm5,2024-03-23,09:33 AM,qm,5,1,blue,2485
2024casd_qm5,2024-03-23,09:33 AM,qm,5,1,blue,8891
2024casd_qm6,2024-03-23,09:42 AM,qm,6,1,red,6885
2024casd_qm6,2024-03-23,09:42 AM,qm,6,1,red,973
2024casd_qm6,2024-03-23,09:42 AM,qm,6,1,red,6995
2024casd_qm6,2024-03-23,09:42 AM,qm,6,1,blue,1538
2024casd_qm6,2024-03-23,09:42 AM,qm,6,1,blue,1972
2024casd_qm6,2024-03-23,09:42 AM,qm,6,1,blue,1622
2024casd_qm7,2024-03-23,09:51 AM,qm,7,1,red,3647
2024casd_qm7,2024-03-23,09:51 AM,qm,7,1,red,5805
2024casd_qm7,2024-03-23,09:51 AM,qm,7,1,red,5514
2024casd_qm7,2024-03-23,09:51 AM,qm,7,1,blue,2984
2024casd_qm7,2024-03-23,09:51 AM,qm,7,1,blue,2102
2024casd_qm7,2024-03-23,09:51 AM,qm,7,1,blue,6072
2024casd_qm8,2024-03-23,10:00 AM,qm,8,1,red,8870
2024casd_qm8,2024-03-23,10:00 AM,qm,8,1,red,3341
2024casd_qm8,2024-03-23,10:00 AM,qm,8,1,red,4984
2024casd_qm8,2024-03-23,10:00 AM,qm,8,1,blue,9615
2024casd_qm8,2024-03-23,10:00 AM,qm,8,1,blue,3704
2024casd_qm8,2024-03-23,10:00 AM,qm,8,1,blue,9573
2024casd_qm9,2024-03-23,10:09 AM,qm,9,1,red,7441
2024casd_qm9,2024-03-23,10:09 AM,qm,9,1,red,4160
2024casd_qm9,2024-03-23,10:09 AM,qm,9,1,red,8888
2024casd_qm9,2024-03-23,10:09 AM,qm,9,1,blue,9084
2024casd_qm9,2024-03-23,10:09 AM,qm,9,1,blue,3255
2024casd_qm9,2024-03-23,10:09 AM,qm,9,1,blue,4270
2024casd_qm10,2024-03-23,10:18 AM,qm,10,1,red,4738
2024casd_qm10,2024-03-23,10:18 AM,qm,10,1,red,2839
2024casd_qm10,2024-03-23,10:18 AM,qm,10,1,red,9730
2024casd_qm10,2024-03-23,10:18 AM,qm,10,1,blue,5025
2024casd_qm10,2024-03-23,10:18 AM,qm,10,1,blue,8119
2024casd_qm10,2024-03-23,10:18 AM,qm,10,1,blue,4919
2024casd_qm11,2024-03-23,10:27 AM,qm,11,1,red,8891
2024casd_qm11,2024-03-23,10:27 AM,qm,11,1,red,359
2024casd_qm11,2024-03-23,10:27 AM,qm,11,1,red,1572
2024casd_qm11,2024-03-23,10:27 AM,qm,11,1,blue,1538
2024casd_qm11,2024-03-23,10:27 AM,qm,11,1,blue,3749
2024casd_qm11,2024-03-23,10:27 AM,qm,11,1,blue,5474
2024casd_qm12,2024-03-23,10:35 AM,qm,12,1,red,6995
2024casd_qm12,2024-03-23,10:35 AM,qm,12,1,red,9452
2024casd_qm12,2024-03-23,10:35 AM,qm,12,1,red,2543
2024casd_qm12,2024-03-23,10:35 AM,qm,12,1,blue,5805
2024casd_qm12,2024-03-23,10:35 AM,qm,12,1,blue,3965
2024casd_qm12,2024-03-23,10:35 AM,qm,12,1,blue,6072
2024casd_qm13,2024-03-23,10:43 AM,qm,13,1,red,2658
2024casd_qm13,2024-03-23,10:43 AM,qm,13,1,red,2102
2024casd_qm13,2024-03-23,10:43 AM,qm,13,1,red,1622
